Id,Prediction
6485,3389243.329055491
31061,2851809.6927661477
55637,2929093.750564079
80213,3584071.7534440337
4790,3426846.7310631284
29366,2939429.574547247
53942,3433647.242900997
78518,2959108.0047680535
3095,2741427.439673361
27671,2940776.4683506275
52247,2773441.5012365547
76823,3426106.9028709466
1396,3019792.0923377774
25972,3123926.0611308906
50548,3203660.494360539
75124,2846548.8781573744
99700,2748924.9577728827
24281,3446118.0386014045
48857,3273206.8213968487
73433,2737846.006181902
98009,2789385.438722639
22586,3265950.376889568
47162,3316210.391138641
71738,2951466.0808923594
96314,3138397.3040871588
20891,3250801.253170349
45467,3169523.7124415725
70043,3388609.052601717
94619,3427664.1081821923
19192,3482674.364356765
43768,3248051.985615305
68344,3380144.3016175893
92920,3367514.7601716593
17501,3307739.4694502773
42077,2818180.0837639757
66653,3114063.318348124
91229,3001561.3165741633
15806,2975764.993161133
40382,2986836.017198344
64958,2973560.477713513
89534,2946945.681138767
14111,3191411.775475746
38687,3723692.2669860357
63263,3102111.1389153646
87839,3427308.3325333567
12412,3684321.7781177685
36988,3367134.605457402
61564,2915281.613113313
86140,3031576.623296679
10705,2663545.224585382
35281,3470336.8506993786
59857,3394670.2854342903
84433,3892931.4491786878
9010,3331769.6238106396
33586,3218705.1085571395
58162,2954991.2269279496
82738,3155291.6663796892
7315,3361424.6536945575
31891,3191793.323415793
56467,3467814.469771923
81043,2723633.7650859603
5616,3171729.8567328406
30192,3386143.122655358
54768,3174846.319365315
79344,2739730.1448567435
3941,3079546.7314506504
28517,2739768.2819255423
53093,2774255.349567817
77669,3255649.656922424
2246,2818807.9657887714
26822,3103032.7511773068
51398,2811526.698712618
75974,3102389.2912092074
551,3122006.317053007
25127,2892548.4165783674
49703,2762513.088967601
74279,3426790.90507927
98855,3400010.9105295157
23428,2876595.652529788
48004,3445718.765520796
72580,2942728.6922974978
97156,3193042.95102885
21737,2494188.173361613
46313,2821030.008371445
70889,3515465.2363011916
95465,2838221.156449422
20042,3510211.803971311
44618,3500000.901473345
69194,3211042.630532143
93770,3359144.3821353335
18347,3155983.3673858745
42923,3622686.6751406593
67499,2713874.2122147013
